bait_gene,auroc_score
OR4F16,0.720382385026124
NOC2L,0.5939322029573493
ISG15,0.7116967122134191
SDF4,0.46181472550745717
UBE2J2,0.7755897475153418
INTS11,0.7797361605491128
AURKAIP1,0.6988000229660677
CCNL2,0.7479187001205718
MRPL20,0.5928349982776439
SSU72,0.7999770352508899
CDK11B,0.7377160245736923
SLC35E2B,0.7087902623873227
CDK11A,0.7449675604294654
GNB1,0.5659068725957398
RER1,0.6915642821602174
WRAP73,0.5606993167594879
C1orf174,0.632962048573233
RPL22,0.6196681784258568
ICMT,0.7479044666437019
CAMTA1,0.5692254693690073
VAMP3,0.6922432106562554
PARK7,0.7878758882892538
RERE,0.7157984715683646
ENO1,0.5482642477130937
SLC25A33,0.7220761325142102
PIK3CD,0.6033013722225412
CLSTN1,0.6897169432163978
LZIC,0.5380449343590921
NMNAT1,0.6741459493598209
UBE4B,0.6876442556123328
KIF1B,0.6958956890062642
PGD,0.5498271264719766
DFFA,0.4997193197330985
TARDBP,0.44371722738929076
EXOSC10,0.6393641316135288
MTOR,0.7698039065589876
MAD2L2,0.7619448590857478
PLOD1,0.6110536992383359
MFN2,0.7842589403044106
VPS13D,0.742016420738359
PRDM2,0.7937637947972086
FBLIM1,0.6099557903198025
UQCRHL,0.7439398289027961
SPEN,0.794854620379939
ZBTB17,0.7154963541367629
SZRD1,0.7432604840458785
SPATA21,0.7460991821997678
NECAP2,0.6683507482680752
NBPF1,0.750927254980766
MFAP2,0.7428546822070391
SDHB,0.794829103992039
RCC2,0.7134753401848768
IFFO2,0.742163279366173
UBR4,0.44670902387058087
EMC1,0.7316250111634196
MRTO4,0.6933312920223014
AKR7A3,0.7102313831314233
CAPZB,0.505305161623701
MICOS10,0.7575943149487759
DDOST,0.6027481149768438
HP1BP3,0.7803357956647657
EIF4G3,0.5957566246922086
ECE1,0.6785726588964804
NBPF3,0.5844979043463283
USP48,0.48884295939066863
HSPG2,0.5051731067347993
CDC42,0.6635600464398259
ZBTB40,0.7471034047195269
EPHB2,0.566618820692427
KDM1A,0.5963243643229864
LUZP1,0.6116597134509638
HNRNPR,0.5451129738074277
ID3,0.7185414832676286
RPL11,0.4955792857963026
ELOA,0.7319694824000714
PNRC2,0.5932113649991706
SRSF10,0.5272068485985124
NCMAP,0.6958833323764139
SRRM1,0.6178729539046453
CLIC4,0.5377387377042905
SYF2,0.6831183577652746
RSRP1,0.7235363161990789
TMEM50A,0.47165767213993187
RHCE,0.6702532008956766
MACO1,0.7218586136946453
LDLRAP1,0.7019865648504334
SELENON,0.5789094295811484
STMN1,0.493362806453465
PDIK1L,0.6972325888499742
SH3BGRL3,0.7535818629514807
UBXN11,0.7897704800908384
HMGN2,0.7484469196761785
NUDC,0.53764943034664
TMEM222,0.7519722110581616
WASF2,0.6696584631479566
STX12,0.5557533075617814
PPP1R8,0.7801125272706396
RPA2,0.5253377731848279
XKR8,0.745719699144514
DNAJC8,0.6838391957234533
ATP5IF1,0.7458862031348682
PHACTR4,0.747643107308951
RCC1,0.5747247419655273
TRNAU1AP,0.7426353325423254
TAF12,0.7157283015016394
YTHDF2,0.6724716449139458
EPB41,0.5967134892384633
SRSF4,0.5487044054043709
PTPRU,0.5880748693804904
PUM1,0.5383702683048187
SNRNP40,0.7459205674844669
ZCCHC17,0.5950183707445893
TINAGL1,0.5395303439168628
PTP4A2,0.5982699889003712
KHDRBS1,0.6699008688330079
TMEM39B,0.745346500545444
KPNA6,0.787308148658476
TXLNA,0.7001696839795357
CCDC28B,0.7234770626399495
EIF3I,0.6477143695538459
HDAC1,0.50594531838073
ZBTB8A,0.5762128954469771
