bait_gene,auroc_score
PAX6,0.5021768410638504
TEAD3,0.5221142229544207
NFIX,0.5033434109373668
PAX7,0.5193710394152139
ETV7,0.5502597447675024
PRDM1,0.4813486932599725
NFYC,0.5173485115724149
KLF6,0.502408096614389
MEF2A,0.5539754008346145
NFATC3,0.5250086304293246
GLI2,0.5496178371549618
TEAD2,0.5167746540742367
PAX2,0.5315907138014863
ESR1,0.7789003587378286
SOX10,0.46429436038514443
YY1,0.5171787728026533
NFATC4,0.513258824234434
VSX1,0.5122805890522426
HNF4A,0.5075571197419689
E2F1,0.5368604012091234
ELF4,0.49067368215012014
GATA1,0.5386059011870108
KLF8,0.5091494866709136
KLF5,0.4992096685377711
SSBP1,0.9824310969583837
GLI3,0.45589394022685215
LHX2,0.5458475135658749
LHX6,0.5673737281804495
LHX3,0.5122814034313455
GATA3,0.5218221976808393
TLX1,0.621303013954537
NFKB1,0.5745799473762468
ELF2,0.4941935483870968
KLF3,0.4785687232452425
SOX6,0.518536998587322
ELK3,0.528076179961358
SMAD5,0.5443276041952666
TLX2,0.49383060018683067
STAT1,0.4898365420429497
ETV3,0.558532510922642
CREB1,0.4424555238304414
MYB,0.516325509224101
KLF12,0.5014840079847509
KLF9,0.5401096073616336
ELF1,0.5043470010584346
LHX4,0.5020466456959505
SOX4,0.5237126839303381
RREB1,0.5386262559710097
IRF1,0.5489480047668082
SOX9,0.521671644628554
PAX8,0.5032983060604629
IRF3,0.7733728677062742
STAT5A,0.7001793689142689
IRF5,0.6616591599838881
HERC2,0.6522180740090041
MYOD1,0.5351272220285814
SOX15,0.505373350578755
KLF16,0.5598481935212145
PPARG,0.5235345368473325
FLOT2,0.9712018887607753
SOX5,0.5017483344287582
ETS1,0.5566958426269637
HNF1A,0.48862449593499996
ELF5,0.48667969470390876
TBR1,0.5311548829071411
GATA4,0.5121908113330558
KLF4,0.5417833212180535
MYC,0.49223930444383107
IRF4,0.5093278338345653
GCM1,0.5443388954337587
FLOT1,0.8210618788777246
STAT4,0.5572653330402286
ETV6,0.5041556283836196
IRF8,0.5714522728737907
TP53,0.5261075978370452
NFIC,0.5337062707485748
NFIB,0.5230781120618272
KLF10,0.5372513599648332
ZIC3,0.6572460696821997
ERG,0.5016170402587264
ELK4,0.5824960193268545
TAL1,0.597412335339527
NFIA,0.5420865198685909
LHX8,0.5359749627165309
EN1,0.4910211774360482
ELF3,0.655612569564161
FEV,0.6057327988578332
KLF15,0.494438313902728
SPZ1,0.5697500686624554
FOXQ1,0.5625154677445966
TLX3,0.5131871814263491
TBXT,0.5358914758771144
SOX17,0.49716581367990414
FOXI1,0.5352020591312008
STAT3,0.5143763857585253
FOS,0.5289384995762223
SP7,0.49902599187802904
HSPA4,0.9979685955858131
NHLH1,0.5099406055425766
STAT5B,0.4817612062131594
ISX,0.5724358974358975
ETV4,0.5104304512942494
FOXL1,0.5197060329244333
BASP1,0.7729219281871088
GATA2,0.5145917770554241
SOX2,0.52501144920899
NKX2-5,0.5416475664839161
SP1,0.552533504040884
TEAD1,0.5134074401346727
PAX9,0.48984239614069597
IRF9,0.5875150982760514
CPEB1,0.5309806476024213
