bait_gene,auroc_score
OR4F16,0.6978754051134317
NOC2L,0.5866282559116552
ISG15,0.5846477013563797
SDF4,0.6152502700756212
UBE2J2,0.6410094826551435
INTS11,0.7156343776257352
AURKAIP1,0.5704777337654543
CCNL2,0.6137498499579882
MRPL20,0.6721041891729684
SSU72,0.6657844196374986
CDK11B,0.5577781778898092
SLC35E2B,0.6478874084743729
CDK11A,0.554909374624895
GNB1,0.5759212579522266
RER1,0.6899351818509183
WRAP73,0.6519265394310407
C1orf174,0.5297443284119554
KCNAB2,0.5411295162645541
RPL22,0.5207412297372088
ICMT,0.4917416876725483
DNAJC11,0.511997359260593
CAMTA1,0.5803865082223022
VAMP3,0.5571720081622854
PARK7,0.6416036490217261
RERE,0.604243188092666
ENO1,0.5646080902652743
SLC25A33,0.5884287600528149
PIK3CD,0.5606889929180171
CLSTN1,0.6343656223742649
LZIC,0.511727283639419
NMNAT1,0.6535709998799664
UBE4B,0.46487216420597766
KIF1B,0.5658924498859681
PGD,0.502166606649862
DFFA,0.5397011163125675
TARDBP,0.5115772416276557
EXOSC10,0.7158384347617333
MTOR,0.5185992077781779
MAD2L2,0.5989076941543633
PLOD1,0.5580842635938064
MFN2,0.6217020765814428
VPS13D,0.5967050774216781
PRDM2,0.5584383627415677
FBLIM1,0.6788020645780819
UQCRHL,0.6249909974792942
SPEN,0.5736826311367184
ZBTB17,0.6761133117272836
SZRD1,0.6929000120033609
SPATA21,0.6603108870483736
NECAP2,0.6400432120993879
NBPF1,0.6289461049093746
MFAP2,0.5775717200816228
SDHB,0.6952166606649862
RCC2,0.6339635097827391
IFFO2,0.6763353739046933
UBR4,0.5793362141399592
EMC1,0.5749069739527067
MRTO4,0.6092365862441483
AKR7A3,0.5747929420237667
CAPZB,0.6792581922938423
MICOS10,0.5371744088344736
DDOST,0.6041171528027848
HP1BP3,0.5856079702316649
EIF4G3,0.5863701836514223
ECE1,0.4984515664386028
NBPF3,0.5279558276317369
USP48,0.4803204897371264
HSPG2,0.6581982955227463
CDC42,0.5794142359860761
ZBTB40,0.625519145360701
EPHB2,0.46404993398151484
KDM1A,0.6861841315568359
LUZP1,0.535746008882487
HNRNPR,0.666980068948502
ID3,0.6078261913335734
RPL11,0.623982715160245
ELOA,0.5391489617092786
PNRC2,0.5312627535709998
SRSF10,0.5026827511703277
NIPAL3,0.5404933381346777
NCMAP,0.6592845996879126
SRRM1,0.7095126635457928
CLIC4,0.5642359860761014
SYF2,0.4838734845756812
RSRP1,0.6276317368863281
TMEM50A,0.5649381826911536
RHCE,0.5842635938062658
MACO1,0.6037570519745529
LDLRAP1,0.6235385908054255
SELENON,0.5570579762333453
STMN1,0.5710298883687432
PDIK1L,0.5787720561757292
SH3BGRL3,0.6193554195174649
UBXN11,0.7023466570639779
HMGN2,0.7077421678069858
NUDC,0.5237126395390709
TMEM222,0.46704477253631016
WASF2,0.5082102988836874
STX12,0.5947665346296963
PPP1R8,0.63081262753571
RPA2,0.54752045449999
XKR8,0.570981874924979
EYA3,0.6157304045132638
DNAJC8,0.7452166606649862
ATP5IF1,0.5884827751770496
MED18,0.5763413755851639
PHACTR4,0.5988896891129516
RCC1,0.6833513383747449
TRNAU1AP,0.7277217620933861
TAF12,0.6915376305365503
YTHDF2,0.7179270195654783
EPB41,0.5279978393950305
SRSF4,0.5903432961229145
PTPRU,0.6815208258312327
PUM1,0.5279258192293842
SNRNP40,0.5879666306565838
ZCCHC17,0.5182806884181186
TINAGL1,0.6218941303564998
PTP4A2,0.6343596206937943
KHDRBS1,0.5112111391189533
TMEM39B,0.6252970831832914
KPNA6,0.5800624174768935
TXLNA,0.522494298403553
CCDC28B,0.723712639539071
EIF3I,0.6333153282919217
LCK,0.5978393950306086
HDAC1,0.5849477853799063
ZBTB8A,0.5633117272836394
ZBTB8OS,0.5590025207057976
RBBP4,0.5997719361421199
SYNC,0.4746969151362382
S100PBP,0.6179270195654784
AK2,0.6244568479174168
ZSCAN20,0.568725243068059
ZMYM6,0.5932361061097108
ZMYM1,0.5589665106229744
SFPQ,0.5020465730404513
ZMYM4,0.5747029168167087
PSMB2,0.6323010442924019
CLSPN,0.5664866162525507
TRAPPC3,0.6496098907694154
THRAP3,0.6171588044652503
OSCP1,0.5472272236226143
MRPS15,0.6803264914175969
MEAF6,0.5680110430920658
SNIP1,0.7012783579402232
GNL2,0.5135337894610491
CDCA8,0.592449885968071
INPP5B,0.676095306685872
SF3A3,0.4497719361421198
UTP11,0.6713179690313288
RRAGC,0.5480434521666067
MYCBP,0.6430920657784179
NDUFS5,0.7073022731667633
MACF1,0.6487756571840115
PABPC4,0.5715400312087384
PPIE,0.5688092665946465
TRIT1,0.668227103589005
CAP1,0.7033729444244389
PPT1,0.5965670387708558
RLF,0.5708438362741568
ZMPSTE24,0.5888308726443404
ZNF684,0.6344436442203817
NFYC,0.7124834953787059
CTPS1,0.6034209578682032
SCMH1,0.7038290721401992
FOXJ3,0.5240307286040091
ZMYND12,0.6563377745768816
PPCS,0.5662285439923179
PPIH,0.6351878525987277
YBX1,0.6979534269595487
P3H1,0.6337534509662706
SVBP,0.605845636778298
EBNA1BP2,0.7072320249669907
TIE1,0.7103589004921378
MED8,0.5680710598967711
SZT2,0.6412435481934942
PTPRF,0.6497839395030608
KDM4A,0.6123394550474133
TMEM53,0.5192113791861721
KIF2C,0.6512063377745768
RPS8,0.6253991117512904
EIF2B3,0.549243788260713
HECTD3,0.5658864482054976
UROD,0.6487756571840115
MUTYH,0.6242707958228304
TOE1,0.6461469211379186
MMACHC,0.7000000000000001
PRDX1,0.6994118353138878
