bait_gene,auroc_score
ZRANB2,0.5500719915125796
RBM15,0.5850260219291598
SF3B4,0.449461713419257
ZC3H11A,0.5798158532888754
SRSF7,0.5722007526963198
ZC3H8,0.6286839912114555
FASTKD2,0.7800257634310828
GNL3,0.6596079818731626
UTP3,0.5138825728866657
LARP7,0.7849916641406487
NSUN2,0.5213641530882911
AGGF1,0.6186723249469537
NPM1,0.8468243140821585
LIN28B,0.5301181997272314
PPIL4,0.6043681172916373
QKI,0.5489501212856277
TRA2A,0.5254054258866323
TBRG4,0.822259262065308
SBDS,0.5048023302400624
YWHAG,0.5396416112326927
ZNF800,0.45189548570129184
GPKOW,0.5919969685486927
NONO,0.5252615221346271
RPS3,0.7778830125776632
BUD13,0.4892056031469268
DDX6,0.5949203942380592
DDX21,0.5700763320190072
SUPV3L1,0.4959138078877216
NOLC1,0.9017315853288875
SMNDC1,0.557710386656558
LARP4,0.5619711550604934
HNRNPA1,0.5533813495072024
CPSF6,0.5806370134626556
DDX55,0.7446764170960898
HNRNPC,0.70235567687797
FXR2,0.5181310489475147
TAF15,0.6148995831754452
DDX52,0.845367073263126
EFTUD2,0.5019541077619779
SRSF1,0.670418371987267
EIF3G,0.48621447517999244
ILF3,0.6514824082499242
EXOSC5,0.521769893614333
RPS11,0.7150541707705129
U2AF2,0.5514177407126611
DGCR8,0.6125464050306841
APOBEC3C,0.8019475598666262
XRCC6,0.6207562897847833
U2AF1,0.8811273581331919
